isbn13,authors,original_publication_year,title,language_code,average_rating,cover_type,pages
9.78067E+12,Nicholas Pileggi,1985,Wiseguy,en-US,4.14,0,558
9.78055E+12,Isaac Asimov,1953,Second Foundation (Foundation #3),eng,4.23,1,1262
9.78006E+12,Terry Pratchett,2007,Making Money (Discworld   #36; Moist Von Lipwig   #2),en-US,4.23,0,864
9.78045E+12,James Patterson   Maxine Paetro,2005,4th of July (Women's Murder Club   #4),eng,4.04,0,1081
9.78035E+12,Tess Gerritsen,2014,Die Again (Rizzoli & Isles   #11),eng,4.16,0,767
9.78055E+12,Michel Faber,2014,The Book of Strange New Things,eng,3.66,0,1142
9.78037E+12,Héctor Tobar,2014,Deep Down Dark: The Untold Stories of 33 Men Buried in a Chilean Mine   and the Miracle That Set Them Free,eng,3.9,1,1025
9.78038E+12,Roald Dahl,1977,The Wonderful Story of Henry Sugar and Six More,eng,4.15,0,507
9.78068E+12,Oliver Sacks,2007,Musicophilia: Tales of Music and the Brain,eng,3.88,1,1401
9.78035E+12,Anne Rice,1979,The Feast of All Saints,en-US,3.83,0,1259
9.78055E+12,Scott Jurek   Steve Friedman,2012,Eat and Run: My Unlikely Journey to Ultramarathon Greatness,en-US,3.95,0,1326
9.78039E+12,Andrew Davidson,2008,The Gargoyle,eng,3.96,1,1336
9.78006E+12,Erich Fromm   Peter D. Kramer   Rainer Funk,1956,The Art of Loving,eng,4.01,1,944
9.78031E+12,Jonathan Stroud   Simon  Jones,2010,The Ring of Solomon (Bartimaeus   #0.5),eng,4.19,0,1297
9.78146E+12,Sandra Brown,2015,Friction,en-CA,3.93,1,745
9.78006E+12,Clive Barker,1989,The Great and Secret Show (Book of the Art #1),eng,4.05,0,1065
9.78077E+12,Steven Erikson,2001,Memories of Ice (The Malazan Book of the Fallen   #3),eng,4.39,1,648
9.78185E+12,Lara Adrian,2012,Darker After Midnight (Midnight Breed   #10),eng,4.37,0,1399
9.78837E+12,Andrzej Sapkowski,1995,Czas pogardy (Saga o Wiedźminie   #4),pol,4.32,1,702
9.78076E+12,Maggie O'Farrell,2013,Instructions for a Heatwave,en-GB,3.62,0,710
9.78079E+12,Margaret Weis   Tracy Hickman,1984,Dragons of Autumn Twilight  (Dragonlance: Chronicles   #1),en-US,4.03,0,1460
9.78088E+12,Scott Cunningham,1988,Wicca: A Guide for the Solitary Practitioner,en-US,4.01,0,1238
9.78081E+12,Sarah Dunant,2006,In the Company of the Courtesan,eng,3.76,1,1223
9.78068E+12,Richard Paul Evans,1993,The Christmas Box (The Christmas Box   #1),eng,3.95,1,532
9.78039E+12,Jon Krakauer,1996,Into the Wild,eng,3.94,0,1410
9.78038E+12,Richard Russo,1997,Straight Man,eng,4.02,0,1041
9.78031E+12,Janette Sebring Lowrey   Gustaf Tenggren,1942,The Poky Little Puppy (A Little Golden Book),eng,4.08,1,596
9.78039E+12,Libba Bray,2009,Going Bovine,eng,3.65,1,1412
9.7801E+12,Anne Rice,2001,Blood And Gold (The Vampire Chronicles   #8),en-US,3.88,1,1236
9.78069E+12,Anne McCaffrey,1977,Dragonsinger (Harper Hall   #2),eng,4.26,1,1022
9.7808E+12,Janice  Thompson,2009,Fools Rush In (Weddings by Bella   #1),en-US,3.59,1,1196
9.78035E+12,James Alexander Thom,1981,Follow the River,en-US,4.21,0,1105
9.7801E+12,Franz Kafka   Edwin Muir   Willa Muir   Max Brod,1925,The Trial,eng,3.98,1,1281
9.78142E+12,Rachel Hawkins,2011,Demonglass (Hex Hall   #2),en-US,4.13,0,1134
9.78032E+12,Emma Donoghue,2014,Frog Music,eng,3.13,1,592
9.78038E+12,Christopher Paolini,2002,Eragon (The Inheritance Cycle   #1),en-US,3.86,1,1258
9.78014E+12,Sue Monk Kidd,2004,The Mermaid Chair,eng,3.1,1,1470
9.78055E+12,J.K. Rowling   Mary GrandPré,2007,Harry Potter and the Deathly Hallows (Harry Potter   #7),eng,4.61,0,888
9.78161E+12,E.L. James,2011,Fifty Shades of Grey (Fifty Shades   #1),eng,3.67,0,1348
9.78031E+12,John Verdon,2010,Think of a Number (Dave Gurney   #1),eng,3.83,1,966
9.78069E+12,Nikolai Gogol   Kevin Hawkes,1836,The Nose,eng,3.92,1,978
9.78035E+12,Tess Gerritsen,2002,The Apprentice (Rizzoli & Isles   #2),eng,4.14,1,1117
9.78145E+12,Jeannette Walls,2013,The Silver Star,eng,3.68,1,706
9.78039E+12,Christopher Paul Curtis,1999,Bud   Not Buddy,eng,3.89,1,970
9.78032E+12,Charles Dickens,1854,Hard Times,eng,3.5,1,1048
9.78031E+12,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail,eng,3.96,0,807
